"Estado","Semana_Epidemiologica","Anio","Incidencia","n","fecha"
"GUERRERO",1,2015,61,61,"2015-01-04"
"CHIAPAS",1,2015,88,88,"2015-01-04"
"AGUASCALIENTES",1,2015,0,0,"2015-01-04"
"BAJA CALIFORNIA",1,2015,0,0,"2015-01-04"
"BAJA CALIFORNIA SUR",1,2015,9,9,"2015-01-04"
"CAMPECHE",1,2015,10,10,"2015-01-04"
"COAHUILA",1,2015,0,0,"2015-01-04"
"COLIMA",1,2015,23,23,"2015-01-04"
"CHIHUAHUA",1,2015,0,0,"2015-01-04"
"CIUDAD DE MÉXICO",1,2015,1,1,"2015-01-04"
"DURANGO",1,2015,0,0,"2015-01-04"
"GUANAJUATO",1,2015,0,0,"2015-01-04"
"HIDALGO",1,2015,0,0,"2015-01-04"
"JALISCO",1,2015,38,38,"2015-01-04"
"MÉXICO",1,2015,0,0,"2015-01-04"
"MICHOACÁN",1,2015,15,15,"2015-01-04"
"MORELOS",1,2015,9,9,"2015-01-04"
"NAYARIT",1,2015,5,5,"2015-01-04"
"NUEVO LEÓN",1,2015,7,7,"2015-01-04"
"OAXACA",1,2015,53,53,"2015-01-04"
"PUEBLA",1,2015,0,0,"2015-01-04"
"QUERÉTARO",1,2015,0,0,"2015-01-04"
"QUINTANA ROO",1,2015,38,38,"2015-01-04"
"SAN LUIS POTOSÍ",1,2015,12,12,"2015-01-04"
"SINALOA",1,2015,24,24,"2015-01-04"
"SONORA",1,2015,29,29,"2015-01-04"
"TABASCO",1,2015,20,20,"2015-01-04"
"TAMAULIPAS",1,2015,14,14,"2015-01-04"
"TLAXCALA",1,2015,0,0,"2015-01-04"
"VERACRUZ",1,2015,47,47,"2015-01-04"
"YUCATÁN",1,2015,37,37,"2015-01-04"
"ZACATECAS",1,2015,0,0,"2015-01-04"
"GUERRERO",2,2015,169,169,"2015-01-11"
"CHIAPAS",2,2015,163,163,"2015-01-11"
"TABASCO",2,2015,22,22,"2015-01-11"
"JALISCO",2,2015,45,45,"2015-01-11"
"VERACRUZ",2,2015,62,62,"2015-01-11"
"MICHOACÁN",2,2015,20,20,"2015-01-11"
"TAMAULIPAS",2,2015,12,12,"2015-01-11"
"QUINTANA ROO",2,2015,54,54,"2015-01-11"
"COLIMA",2,2015,38,38,"2015-01-11"
"NAYARIT",2,2015,11,11,"2015-01-11"
"OAXACA",2,2015,62,62,"2015-01-11"
"SONORA",2,2015,29,29,"2015-01-11"
"NUEVO LEÓN",2,2015,29,29,"2015-01-11"
"YUCATÁN",2,2015,36,36,"2015-01-11"
"BAJA CALIFORNIA SUR",2,2015,14,14,"2015-01-11"
"PUEBLA",2,2015,6,6,"2015-01-11"
"AGUASCALIENTES",2,2015,0,0,"2015-01-11"
"BAJA CALIFORNIA",2,2015,2,2,"2015-01-11"
"CAMPECHE",2,2015,13,13,"2015-01-11"
"COAHUILA",2,2015,3,3,"2015-01-11"
"CHIHUAHUA",2,2015,0,0,"2015-01-11"
"CIUDAD DE MÉXICO",2,2015,0,0,"2015-01-11"
"DURANGO",2,2015,1,1,"2015-01-11"
"GUANAJUATO",2,2015,0,0,"2015-01-11"
"HIDALGO",2,2015,1,1,"2015-01-11"
"MÉXICO",2,2015,4,4,"2015-01-11"
"MORELOS",2,2015,32,32,"2015-01-11"
"QUERÉTARO",2,2015,0,0,"2015-01-11"
"SAN LUIS POTOSÍ",2,2015,24,24,"2015-01-11"
"SINALOA",2,2015,40,40,"2015-01-11"
"TLAXCALA",2,2015,0,0,"2015-01-11"
"ZACATECAS",2,2015,0,0,"2015-01-11"
"GUERRERO",3,2015,214,214,"2015-01-18"
"CHIAPAS",3,2015,163,163,"2015-01-18"
"TABASCO",3,2015,28,28,"2015-01-18"
"VERACRUZ",3,2015,67,67,"2015-01-18"
"JALISCO",3,2015,57,57,"2015-01-18"
"MICHOACÁN",3,2015,30,30,"2015-01-18"
"QUINTANA ROO",3,2015,76,76,"2015-01-18"
"SONORA",3,2015,44,44,"2015-01-18"
"OAXACA",3,2015,123,123,"2015-01-18"
"PUEBLA",3,2015,20,20,"2015-01-18"
"TAMAULIPAS",3,2015,22,22,"2015-01-18"
"COLIMA",3,2015,41,41,"2015-01-18"
"SINALOA",3,2015,42,42,"2015-01-18"
"BAJA CALIFORNIA SUR",3,2015,20,20,"2015-01-18"
"NAYARIT",3,2015,5,5,"2015-01-18"
"MORELOS",3,2015,19,19,"2015-01-18"
"NUEVO LEÓN",3,2015,71,71,"2015-01-18"
"SAN LUIS POTOSÍ",3,2015,22,22,"2015-01-18"
"YUCATÁN",3,2015,45,45,"2015-01-18"
"CAMPECHE",3,2015,11,11,"2015-01-18"
"AGUASCALIENTES",3,2015,0,0,"2015-01-18"
"BAJA CALIFORNIA",3,2015,2,2,"2015-01-18"
"COAHUILA",3,2015,0,0,"2015-01-18"
"CHIHUAHUA",3,2015,0,0,"2015-01-18"
"CIUDAD DE MÉXICO",3,2015,1,1,"2015-01-18"
"DURANGO",3,2015,0,0,"2015-01-18"
"GUANAJUATO",3,2015,1,1,"2015-01-18"
"HIDALGO",3,2015,4,4,"2015-01-18"
"MÉXICO",3,2015,7,7,"2015-01-18"
"QUERÉTARO",3,2015,0,0,"2015-01-18"
"TLAXCALA",3,2015,0,0,"2015-01-18"
"ZACATECAS",3,2015,0,0,"2015-01-18"
"GUERRERO",4,2015,205,205,"2015-01-25"
"CHIAPAS",4,2015,142,142,"2015-01-25"
"VERACRUZ",4,2015,44,44,"2015-01-25"
"TABASCO",4,2015,29,29,"2015-01-25"
"JALISCO",4,2015,57,57,"2015-01-25"
"MICHOACÁN",4,2015,42,42,"2015-01-25"
"QUINTANA ROO",4,2015,70,70,"2015-01-25"
"OAXACA",4,2015,134,134,"2015-01-25"
"SONORA",4,2015,33,33,"2015-01-25"
"SINALOA",4,2015,42,42,"2015-01-25"
"COLIMA",4,2015,46,46,"2015-01-25"
"NUEVO LEÓN",4,2015,102,102,"2015-01-25"
"NAYARIT",4,2015,11,11,"2015-01-25"
"PUEBLA",4,2015,20,20,"2015-01-25"
"CAMPECHE",4,2015,15,15,"2015-01-25"
"TAMAULIPAS",4,2015,19,19,"2015-01-25"
"BAJA CALIFORNIA SUR",4,2015,29,29,"2015-01-25"
"MORELOS",4,2015,34,34,"2015-01-25"
"YUCATÁN",4,2015,31,31,"2015-01-25"
"SAN LUIS POTOSÍ",4,2015,30,30,"2015-01-25"
"AGUASCALIENTES",4,2015,0,0,"2015-01-25"
"BAJA CALIFORNIA",4,2015,2,2,"2015-01-25"
"COAHUILA",4,2015,2,2,"2015-01-25"
"CHIHUAHUA",4,2015,1,1,"2015-01-25"
"CIUDAD DE MÉXICO",4,2015,0,0,"2015-01-25"
"DURANGO",4,2015,0,0,"2015-01-25"
"GUANAJUATO",4,2015,1,1,"2015-01-25"
"HIDALGO",4,2015,6,6,"2015-01-25"
"MÉXICO",4,2015,4,4,"2015-01-25"
"QUERÉTARO",4,2015,0,0,"2015-01-25"
"TLAXCALA",4,2015,0,0,"2015-01-25"
"ZACATECAS",4,2015,0,0,"2015-01-25"
"GUERRERO",5,2015,156,156,"2015-02-01"
"CHIAPAS",5,2015,107,107,"2015-02-01"
"VERACRUZ",5,2015,53,53,"2015-02-01"
"TABASCO",5,2015,27,27,"2015-02-01"
"JALISCO",5,2015,37,37,"2015-02-01"
"MICHOACÁN",5,2015,6,6,"2015-02-01"
"NUEVO LEÓN",5,2015,60,60,"2015-02-01"
"QUINTANA ROO",5,2015,25,25,"2015-02-01"
"SONORA",5,2015,23,23,"2015-02-01"
"CAMPECHE",5,2015,10,10,"2015-02-01"
"NAYARIT",5,2015,7,7,"2015-02-01"
"OAXACA",5,2015,81,81,"2015-02-01"
"SINALOA",5,2015,28,28,"2015-02-01"
"COLIMA",5,2015,39,39,"2015-02-01"
"TAMAULIPAS",5,2015,16,16,"2015-02-01"
"PUEBLA",5,2015,17,17,"2015-02-01"
"BAJA CALIFORNIA SUR",5,2015,3,3,"2015-02-01"
"YUCATÁN",5,2015,30,30,"2015-02-01"
"MORELOS",5,2015,28,28,"2015-02-01"
"SAN LUIS POTOSÍ",5,2015,18,18,"2015-02-01"
"AGUASCALIENTES",5,2015,0,0,"2015-02-01"
"BAJA CALIFORNIA",5,2015,1,1,"2015-02-01"
"COAHUILA",5,2015,0,0,"2015-02-01"
"CHIHUAHUA",5,2015,0,0,"2015-02-01"
"CIUDAD DE MÉXICO",5,2015,0,0,"2015-02-01"
"DURANGO",5,2015,0,0,"2015-02-01"
"GUANAJUATO",5,2015,1,1,"2015-02-01"
"HIDALGO",5,2015,3,3,"2015-02-01"
"MÉXICO",5,2015,5,5,"2015-02-01"
"QUERÉTARO",5,2015,0,0,"2015-02-01"
"TLAXCALA",5,2015,0,0,"2015-02-01"
"ZACATECAS",5,2015,0,0,"2015-02-01"
"GUERRERO",6,2015,261,261,"2015-02-08"
"CHIAPAS",6,2015,146,146,"2015-02-08"
"VERACRUZ",6,2015,46,46,"2015-02-08"
"TABASCO",6,2015,25,25,"2015-02-08"
"JALISCO",6,2015,51,51,"2015-02-08"
"MICHOACÁN",6,2015,36,36,"2015-02-08"
"NUEVO LEÓN",6,2015,132,132,"2015-02-08"
"NAYARIT",6,2015,12,12,"2015-02-08"
"QUINTANA ROO",6,2015,62,62,"2015-02-08"
"SONORA",6,2015,17,17,"2015-02-08"
"OAXACA",6,2015,121,121,"2015-02-08"
"COLIMA",6,2015,53,53,"2015-02-08"
"TAMAULIPAS",6,2015,27,27,"2015-02-08"
"CAMPECHE",6,2015,12,12,"2015-02-08"
"SINALOA",6,2015,24,24,"2015-02-08"
"YUCATÁN",6,2015,29,29,"2015-02-08"
"PUEBLA",6,2015,9,9,"2015-02-08"
"MORELOS",6,2015,40,40,"2015-02-08"
"BAJA CALIFORNIA SUR",6,2015,5,5,"2015-02-08"
"SAN LUIS POTOSÍ",6,2015,41,41,"2015-02-08"
"AGUASCALIENTES",6,2015,0,0,"2015-02-08"
"BAJA CALIFORNIA",6,2015,1,1,"2015-02-08"
"COAHUILA",6,2015,0,0,"2015-02-08"
"CHIHUAHUA",6,2015,0,0,"2015-02-08"
"CIUDAD DE MÉXICO",6,2015,0,0,"2015-02-08"
"DURANGO",6,2015,0,0,"2015-02-08"
"GUANAJUATO",6,2015,0,0,"2015-02-08"
"HIDALGO",6,2015,2,2,"2015-02-08"
"MÉXICO",6,2015,6,6,"2015-02-08"
"QUERÉTARO",6,2015,0,0,"2015-02-08"
"TLAXCALA",6,2015,0,0,"2015-02-08"
"ZACATECAS",6,2015,0,0,"2015-02-08"
"GUERRERO",7,2015,371,371,"2015-02-15"
"CHIAPAS",7,2015,151,151,"2015-02-15"
"VERACRUZ",7,2015,49,49,"2015-02-15"
"TABASCO",7,2015,26,26,"2015-02-15"
"JALISCO",7,2015,21,21,"2015-02-15"
"MICHOACÁN",7,2015,24,24,"2015-02-15"
"OAXACA",7,2015,100,100,"2015-02-15"
"NUEVO LEÓN",7,2015,88,88,"2015-02-15"
"NAYARIT",7,2015,15,15,"2015-02-15"
"CAMPECHE",7,2015,10,10,"2015-02-15"
"QUINTANA ROO",7,2015,58,58,"2015-02-15"
"SONORA",7,2015,18,18,"2015-02-15"
"COLIMA",7,2015,38,38,"2015-02-15"
"SINALOA",7,2015,19,19,"2015-02-15"
"TAMAULIPAS",7,2015,45,45,"2015-02-15"
"YUCATÁN",7,2015,41,41,"2015-02-15"
"MORELOS",7,2015,64,64,"2015-02-15"
"PUEBLA",7,2015,29,29,"2015-02-15"
"SAN LUIS POTOSÍ",7,2015,30,30,"2015-02-15"
"BAJA CALIFORNIA SUR",7,2015,13,13,"2015-02-15"
"MÉXICO",7,2015,12,12,"2015-02-15"
"AGUASCALIENTES",7,2015,0,0,"2015-02-15"
"BAJA CALIFORNIA",7,2015,2,2,"2015-02-15"
"COAHUILA",7,2015,3,3,"2015-02-15"
"CHIHUAHUA",7,2015,0,0,"2015-02-15"
"CIUDAD DE MÉXICO",7,2015,-2,-2,"2015-02-15"
"DURANGO",7,2015,0,0,"2015-02-15"
"GUANAJUATO",7,2015,2,2,"2015-02-15"
"HIDALGO",7,2015,6,6,"2015-02-15"
"QUERÉTARO",7,2015,1,1,"2015-02-15"
"TLAXCALA",7,2015,1,1,"2015-02-15"
"ZACATECAS",7,2015,0,0,"2015-02-15"
"GUERRERO",8,2015,332,332,"2015-02-22"
"CHIAPAS",8,2015,137,137,"2015-02-22"
