Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
VERACRUZ,709.0,"2,183",10.0,228.0,5.0,81.0,15.0,309.0,0.0,1.0,15,2019
CHIAPAS,825.0,"1,202",32.0,78.0,281.0,220.0,313.0,298.0,1.0,2.0,15,2019
JALISCO,606.0,"1,664",21.0,123.0,3.0,36.0,24.0,159.0,0.0,0.0,15,2019
QUINTANA ROO,193.0,787,1.0,111.0,1.0,41.0,2.0,152.0,0.0,0.0,15,2019
TABASCO,139.0,"1,229",0.0,69.0,0.0,69.0,0.0,138.0,0.0,0.0,15,2019
MICHOACÁN,230.0,695,10.0,99.0,0.0,9.0,10.0,108.0,0.0,0.0,15,2019
OAXACA,142.0,605,0.0,18.0,0.0,23.0,0.0,41.0,0.0,0.0,15,2019
COLIMA,227.0,428,0.0,18.0,3.0,10.0,3.0,28.0,0.0,0.0,15,2019
SAN LUIS POTOSÍ,53.0,214,0.0,25.0,0.0,2.0,0.0,27.0,0.0,0.0,15,2019
TAMAULIPAS,270.0,354,2.0,20.0,1.0,6.0,3.0,26.0,0.0,0.0,15,2019
SINALOA,221.0,210,1.0,21.0,0.0,2.0,1.0,23.0,0.0,0.0,15,2019
NAYARIT,99.0,198,0.0,12.0,1.0,6.0,1.0,18.0,0.0,0.0,15,2019
MORELOS,243.0,251,0.0,4.0,1.0,11.0,1.0,15.0,0.0,0.0,15,2019
GUERRERO,310.0,475,6.0,3.0,6.0,7.0,12.0,10.0,0.0,0.0,15,2019
YUCATÁN,165.0,213,0.0,4.0,0.0,6.0,0.0,10.0,0.0,0.0,15,2019
PUEBLA,50.0,99,1.0,4.0,0.0,2.0,1.0,6.0,0.0,0.0,15,2019
BAJA CALIFORNIA SUR,105.0,74,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,15,2019
NUEVO LEÓN,238.0,258,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,15,2019
CAMPECHE,55.0,57,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,15,2019
