Estado,Probables (año pasado),Probables (año actual),Confirmados Dengue No Grave (año pasado),Confirmados Dengue No Grave (año actual),Dengue con Signos de Alarma y Dengue Grave (año pasado),Dengue con Signos de Alarma y Dengue Grave (año actual),Total Confirmados (año pasado),Total Confirmados (año actual),Defunciones (año pasado),Defunciones (año actual),Semana_Epidemiologica,Anio
VERACRUZ,202.0,54.0,7.0,6.0,4.0,2.0,11.0,8.0,0.0,0.0,02,2017
MICHOACÁN,52.0,30.0,9.0,4.0,1.0,1.0,10.0,5.0,0.0,0.0,02,2017
JALISCO,282.0,128.0,11.0,3.0,0.0,2.0,11.0,5.0,0.0,0.0,02,2017
MORELOS,38.0,39.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,02,2017
GUERRERO,169.0,39.0,15.0,1.0,27.0,2.0,42.0,3.0,0.0,0.0,02,2017
CHIAPAS,135.0,16.0,15.0,1.0,7.0,2.0,22.0,3.0,0.0,0.0,02,2017
TABASCO,187.0,35.0,11.0,3.0,3.0,0.0,14.0,3.0,0.0,0.0,02,2017
NAYARIT,133.0,37.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,02,2017
NUEVO LEÓN,143.0,64.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,02,2017
YUCATÁN,20.0,30.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,02,2017
DURANGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
COAHUILA,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
MÉXICO,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
SINALOA,120.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
TAMAULIPAS,90.0,83.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,02,2017
COLIMA,63.0,25.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02,2017
PUEBLA,32.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,02,2017
QUINTANA ROO,132.0,17.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,02,2017
OAXACA,86.0,15.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,02,2017
SONORA,28.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,02,2017
BAJA CALIFORNIA SUR,29.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,02,2017
SAN LUIS POTOSÍ,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
HIDALGO,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
CAMPECHE,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
ZACATECAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
GUANAJUATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
BAJA CALIFORNIA,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
CHIHUAHUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
QUERÉTARO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
AGUASCALIENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
DISTRITO FEDERAL,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
TLAXCALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2017
MICHOACÁN,78.0,60.0,21.0,10.0,1.0,1.0,22.0,11.0,0.0,0.0,03,2017
GUERRERO,312.0,60.0,42.0,2.0,56.0,8.0,98.0,10.0,0.0,0.0,03,2017
JALISCO,468.0,202.0,27.0,7.0,1.0,3.0,28.0,10.0,0.0,0.0,03,2017
NUEVO LEÓN,288.0,156.0,3.0,10.0,0.0,0.0,3.0,10.0,0.0,0.0,03,2017
MORELOS,82.0,81.0,1.0,1.0,2.0,8.0,3.0,9.0,0.0,0.0,03,2017
CHIAPAS,248.0,39.0,38.0,5.0,15.0,4.0,53.0,9.0,0.0,0.0,03,2017
VERACRUZ,341.0,122.0,23.0,6.0,14.0,2.0,37.0,8.0,0.0,0.0,03,2017
TABASCO,318.0,55.0,31.0,5.0,9.0,1.0,40.0,6.0,0.0,0.0,03,2017
NAYARIT,238.0,68.0,1.0,3.0,4.0,1.0,5.0,4.0,0.0,0.0,03,2017
PUEBLA,92.0,34.0,12.0,2.0,1.0,1.0,13.0,3.0,0.0,0.0,03,2017
YUCATÁN,34.0,50.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,03,2017
TAMAULIPAS,137.0,150.0,9.0,1.0,2.0,0.0,11.0,1.0,0.0,0.0,03,2017
QUINTANA ROO,227.0,26.0,8.0,1.0,7.0,0.0,15.0,1.0,0.0,0.0,03,2017
COLIMA,107.0,43.0,5.0,1.0,3.0,0.0,8.0,1.0,0.0,0.0,03,2017
DURANGO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
COAHUILA,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
MÉXICO,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
SINALOA,182.0,86.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,03,2017
OAXACA,141.0,31.0,9.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,03,2017
SONORA,58.0,9.0,11.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,03,2017
BAJA CALIFORNIA SUR,48.0,10.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,03,2017
SAN LUIS POTOSÍ,19.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,03,2017
HIDALGO,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
CAMPECHE,62.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,03,2017
ZACATECAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
GUANAJUATO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
BAJA CALIFORNIA,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
CHIHUAHUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
QUERÉTARO,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
AGUASCALIENTES,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
DISTRITO FEDERAL,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
TLAXCALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2017
GUERRERO,"1,319",201.0,243.0,28.0,225.0,23.0,468.0,51.0,0.0,0.0,08,2017
NUEVO LEÓN,"1,548",622.0,92.0,45.0,0.0,0.0,92.0,45.0,0.0,0.0,08,2017
CHIAPAS,686,164.0,141.0,24.0,64.0,20.0,205.0,44.0,0.0,0.0,08,2017
VERACRUZ,"1,038",312.0,126.0,33.0,67.0,11.0,193.0,44.0,0.0,0.0,08,2017
MICHOACÁN,329,187.0,73.0,36.0,3.0,3.0,76.0,39.0,0.0,0.0,08,2017
TAMAULIPAS,518,388.0,33.0,34.0,3.0,2.0,36.0,36.0,0.0,0.0,08,2017
MORELOS,336,237.0,14.0,10.0,8.0,21.0,22.0,31.0,0.0,0.0,08,2017
JALISCO,"1,840",476.0,70.0,20.0,27.0,7.0,97.0,27.0,0.0,0.0,08,2017
TABASCO,703,136.0,100.0,14.0,22.0,4.0,122.0,18.0,0.0,0.0,08,2017
PUEBLA,235,129.0,21.0,15.0,1.0,2.0,22.0,17.0,0.0,0.0,08,2017
NAYARIT,"1,051",190.0,36.0,12.0,20.0,3.0,56.0,15.0,0.0,0.0,08,2017
SINALOA,496,206.0,34.0,13.0,6.0,0.0,40.0,13.0,0.0,0.0,08,2017
YUCATÁN,169,127.0,12.0,6.0,17.0,4.0,29.0,10.0,0.0,0.0,08,2017
QUINTANA ROO,517,89.0,31.0,4.0,24.0,5.0,55.0,9.0,0.0,0.0,08,2017
MÉXICO,92,41.0,16.0,8.0,0.0,0.0,16.0,8.0,0.0,0.0,08,2017
COLIMA,534,127.0,39.0,3.0,14.0,2.0,53.0,5.0,0.0,0.0,08,2017
SONORA,271,58.0,40.0,5.0,8.0,0.0,48.0,5.0,0.0,0.0,08,2017
SAN LUIS POTOSÍ,114,58.0,23.0,2.0,0.0,0.0,23.0,2.0,0.0,0.0,08,2017
HIDALGO,68,26.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,08,2017
COAHUILA,32,41.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,08,2017
CAMPECHE,152,70.0,41.0,0.0,7.0,1.0,48.0,1.0,0.0,0.0,08,2017
AGUASCALIENTES,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
BAJA CALIFORNIA,25,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,08,2017
BAJA CALIFORNIA SUR,151,37.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,08,2017
CHIHUAHUA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
DISTRITO FEDERAL,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
DURANGO,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
GUANAJUATO,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
OAXACA,492,109.0,40.0,0.0,30.0,0.0,70.0,0.0,0.0,0.0,08,2017
QUERÉTARO,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
TLAXCALA,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
ZACATECAS,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,2017
NUEVO LEÓN,"1,765",744.0,125.0,56.0,1.0,0.0,126.0,56.0,0.0,0.0,09,2017
VERACRUZ,"1,192",359.0,144.0,39.0,73.0,16.0,217.0,55.0,0.0,0.0,09,2017
GUERRERO,"1,533",223.0,288.0,30.0,245.0,24.0,533.0,54.0,0.0,0.0,09,2017
CHIAPAS,761,184.0,154.0,27.0,70.0,25.0,224.0,52.0,0.0,0.0,09,2017
MICHOACÁN,404,208.0,95.0,39.0,4.0,3.0,99.0,42.0,0.0,0.0,09,2017
TAMAULIPAS,634,415.0,43.0,38.0,3.0,3.0,46.0,41.0,0.0,0.0,09,2017
JALISCO,"2,043",526.0,76.0,26.0,28.0,8.0,104.0,34.0,0.0,0.0,09,2017
MORELOS,394,267.0,17.0,10.0,8.0,21.0,25.0,31.0,0.0,0.0,09,2017
TABASCO,757,151.0,111.0,15.0,25.0,6.0,136.0,21.0,0.0,0.0,09,2017
PUEBLA,300,150.0,23.0,16.0,1.0,2.0,24.0,18.0,0.0,0.0,09,2017
NAYARIT,"1,208",218.0,45.0,14.0,26.0,3.0,71.0,17.0,0.0,0.0,09,2017
SINALOA,557,217.0,38.0,15.0,6.0,0.0,44.0,15.0,0.0,0.0,09,2017
YUCATÁN,209,128.0,16.0,7.0,18.0,4.0,34.0,11.0,0.0,0.0,09,2017
MÉXICO,114,48.0,23.0,11.0,0.0,0.0,23.0,11.0,0.0,0.0,09,2017
QUINTANA ROO,556,101.0,43.0,4.0,27.0,5.0,70.0,9.0,0.0,0.0,09,2017
COLIMA,642,151.0,44.0,3.0,17.0,2.0,61.0,5.0,0.0,0.0,09,2017
SONORA,298,68.0,46.0,5.0,8.0,0.0,54.0,5.0,0.0,0.0,09,2017
